ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T09C08_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C08_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C08_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C08__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C09_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C09_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C09_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C09_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C09_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C09_acam, energyCAM, , Accumulator, 104921410000, 3, 558760454180.606812, 7382202180715.522461, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C09_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C09_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C09_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C09_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C09__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C10_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C10_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C10_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C10_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C10_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C10_acam, energyCAM, , Accumulator, 104921410000, 3, 561041534199.684570, 7394312730847.208984, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C10_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C10_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
