ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T45C09_acam, energyCAM, , Accumulator, 13497115000, 14, 69988679491.474747, 929698494671.230835, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C09_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C09_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C09_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C09_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C09__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C10_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C10_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C10_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C10_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C10_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C10_acam, energyCAM, , Accumulator, 13497115000, 14, 69862220871.684769, 929115342859.883301, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C10_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C10_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C10_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C10_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C10__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C11_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C11_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C11_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C11_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C11_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C11_acam, energyCAM, , Accumulator, 13497115000, 14, 70052674257.334305, 929914547750.518188, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C11_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C11_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C11_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C11_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C11__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C12_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C12_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
